Price,Supply
311.5384615,60965.66524
294.2307692,55386.26609
300,55386.26609
313.4615385,55987.12446
307.6923077,57446.35193
286.5384615,54098.71245
298.0769231,51952.7897
263.4615385,47832.61803
317.3076923,48605.15021
311.5384615,49892.70386
328.8461538,51351.93133
328.8461538,50579.39914
344.2307692,51094.4206
342.3076923,50236.0515
344.2307692,49721.03004
338.4615385,52553.64807
340.3846154,52639.48498
348.0769231,54442.06009
359.6153846,56072.96137
361.5384615,56587.98283
375,56072.96137
376.9230769,55901.28755
401.9230769,54184.54936
390.3846154,54356.22318
396.1538462,53583.69099
428.8461538,52896.99571
405.7692308,50150.21459
403.8461538,48862.66094
413.4615385,48347.63948
384.6153846,48690.98712
384.6153846,48519.3133
444.2307692,50579.39914
475,49206.00858
482.6923077,51952.7897
536.5384615,52467.81116
490.3846154,54356.22318
507.6923077,55042.91845
496.1538462,57961.37339
421.1538462,59163.09013
705.7692308,58905.5794
717.3076923,60364.80687
871.1538462,60708.15451
815.3846154,56759.65665
838.4615385,56502.14592
755.7692308,52896.99571
775,51866.95279
813.4615385,52296.13734
821.1538462,53841.20172
873.0769231,49034.33476
917.3076923,48175.96567
957.6923077,50064.37768
965.3846154,52639.48498
1359.615385,52896.99571
1359.615385,49463.51931
1305.769231,49120.17167
1255.769231,49978.54077
1213.461538,49206.00858
1178.846154,51008.58369
1136.538462,49034.33476
1130.769231,46115.87983
1151.923077,44141.6309
1090.384615,43798.28326
1038.461538,47317.59657
1034.615385,48004.29185
990.3846154,44399.14163
1134.615385,37188.8412
1276.923077,38562.23176
1282.692308,42682.40343
1305.769231,43712.44635
1313.461538,43283.2618
1348.076923,44570.81545
1350,45600.85837
1394.230769,41995.70815
1355.769231,43197.42489
1036.538462,26974.24893
875,31695.27897
875,36845.49356
911.5384615,39935.62232
855.7692308,41652.36052
867.3076923,42081.54506
819.2307692,43197.42489
813.4615385,42854.07725
813.4615385,42253.21888
780.7692308,41566.52361
811.5384615,45600.85837
761.5384615,47918.45494
732.6923077,48175.96567
725,50064.37768
688.4615385,49721.03004
678.8461538,50836.90987
678.8461538,51609.44206
682.6923077,51866.95279
688.4615385,52553.64807
644.2307692,48347.63948
628.8461538,51008.58369
590.3846154,46802.57511
523.0769231,46287.55365
532.6923077,48347.63948
467.3076923,45429.18455
375,44313.30472
390.3846154,44656.65236
375,45429.18455
367.3076923,45429.18455
384.6153846,45515.02146
336.5384615,46459.22747
325,45686.69528
305.7692308,46030.04292
290.3846154,45772.53219
305.7692308,46974.24893
357.6923077,40450.64378
342.3076923,40536.48069
332.6923077,39763.9485
340.3846154,39248.92704
311.5384615,42167.38197
353.8461538,42682.40343
326.9230769,44399.14163
332.6923077,44227.46781
290.3846154,35214.59227
296.1538462,34957.08155
313.4615385,28690.98712
457.6923077,35128.75536
505.7692308,36416.30901
513.4615385,36759.65665
526.9230769,37446.35193
476.9230769,39334.76395
498.0769231,40622.3176
488.4615385,41480.6867
528.8461538,42081.54506
542.3076923,43197.42489
605.7692308,43283.2618
590.3846154,44742.48927
636.5384615,44742.48927
646.1538462,43283.2618
673.0769231,40364.80687
680.7692308,41566.52361
680.7692308,40622.3176
713.4615385,40965.66524
707.6923077,43111.58798
734.6153846,43111.58798
713.4615385,46459.22747
701.9230769,46373.39056
696.1538462,45772.53219
709.6153846,38905.5794
715.3846154,38047.2103
728.8461538,38562.23176
725,39077.25322
736.5384615,35472.103
728.8461538,35901.28755
721.1538462,36502.14592
480.7692308,32811.1588
